func,classification,score
<,setup,0.017964071856287425
<,export,0.005988023952095809
<-,data cleaning,0.3823928377645144
<-,import,0.1695604991861096
<-,setup,0.13008681497558328
<-,modeling,0.1233043950081389
<-,evaluation,0.062805208898535
<-,exploratory,0.060363537710255016
<-,visualization,0.04666304937601736
<-,export,0.014785675529028758
<-,communication,0.010037981551817688
<<-,setup,1
<=,data cleaning,0.42857142857142855
<=,evaluation,0.19480519480519481
<=,exploratory,0.12987012987012986
<=,visualization,0.07792207792207792
<=,import,0.05194805194805195
<=,setup,0.05194805194805195
<=,modeling,0.03896103896103896
<=,communication,0.025974025974025976
=,data cleaning,0.31070306837400335
=,setup,0.18361923169847788
=,modeling,0.16235805750181204
=,import,0.11717806233389708
=,exploratory,0.07513892244503503
=,evaluation,0.07054844165257308
=,visualization,0.055085769509543366
=,export,0.019086735926552308
=,communication,0.006281710558105823
==,data cleaning,0.6715462031107045
==,exploratory,0.1070448307410796
==,import,0.04940530649588289
==,modeling,0.04483074107959744
==,visualization,0.04025617566331199
==,evaluation,0.0384263494967978
==,setup,0.03476669716376944
==,communication,0.011893870082342177
==,export,0.0018298261665141812
>,data cleaning,0.44148936170212766
>,exploratory,0.1702127659574468
>,evaluation,0.1595744680851064
>,modeling,0.0851063829787234
>,visualization,0.06914893617021277
>,import,0.026595744680851064
>,export,0.02127659574468085
>,setup,0.02127659574468085
>,communication,0.005319148936170213
>=,data cleaning,0.5862068965517241
>=,exploratory,0.1896551724137931
>=,evaluation,0.13793103448275862
>=,modeling,0.034482758620689655
>=,setup,0.034482758620689655
>=,visualization,0.017241379310344827
|,modeling,0.5975232198142415
|,data cleaning,0.2786377708978328
|,import,0.07120743034055728
|,exploratory,0.018575851393188854
|,setup,0.018575851393188854
|,evaluation,0.009287925696594427
|,export,0.006191950464396285
||,data cleaning,1
~,modeling,0.6487455197132617
~,visualization,0.2482078853046595
~,data cleaning,0.043010752688172046
~,exploratory,0.02867383512544803
~,evaluation,0.014336917562724014
~,import,0.008064516129032258
~,export,0.005376344086021506
~,communication,0.0017921146953405018
~,setup,0.0017921146953405018
$,data cleaning,0.4943491000418585
$,modeling,0.1270406027626622
$,exploratory,0.10652992884051904
$,evaluation,0.08622854750941816
$,visualization,0.07701967350355797
$,import,0.041021347844286314
$,setup,0.03830054416073671
$,communication,0.017789870238593554
$,export,0.011720385098367517
a,setup,1
abbreviate,setup,1
abiotic_resid,exploratory,1
abline,visualization,0.8913043478260869
abline,data cleaning,0.06521739130434782
abline,modeling,0.043478260869565216
abs,modeling,0.5319148936170213
abs,data cleaning,0.24468085106382978
abs,evaluation,0.1276595744680851
abs,visualization,0.0425531914893617
abs,exploratory,0.02127659574468085
abs,communication,0.010638297872340425
abs,import,0.010638297872340425
abs,setup,0.010638297872340425
acast,data cleaning,1
acf,data cleaning,1
actionButton,communication,0.6276595744680851
actionButton,setup,0.18085106382978725
actionButton,exploratory,0.13829787234042554
actionButton,import,0.05319148936170213
ACURRACY,setup,0.7142857142857143
ACURRACY,data cleaning,0.14285714285714285
ACURRACY,exploratory,0.14285714285714285
add_rmse_rankings,data cleaning,0.6666666666666666
add_rmse_rankings,modeling,0.3333333333333333
add_row,exploratory,1
add.axes,visualization,1
addpoly,modeling,0.6666666666666666
addpoly,visualization,0.3333333333333333
adf.test,evaluation,0.5
adf.test,modeling,0.5
adply,communication,0.5
adply,data cleaning,0.5
aes,visualization,0.9378612716763006
aes,exploratory,0.015895953757225433
aes,communication,0.01300578034682081
aes,data cleaning,0.011560693641618497
aes,import,0.0072254335260115606
aes,modeling,0.005780346820809248
aes,setup,0.004335260115606936
aes,evaluation,0.002890173410404624
aes,export,0.001445086705202312
aggregate,data cleaning,0.7272727272727273
aggregate,modeling,0.18181818181818182
aggregate,communication,0.09090909090909091
AggregateLooks,data cleaning,1
agreement,export,0.3333333333333333
agreement,import,0.3333333333333333
agreement,setup,0.3333333333333333
AIC,evaluation,1
all,data cleaning,0.8333333333333334
all,modeling,0.16666666666666666
all.equal,data cleaning,0.8571428571428571
all.equal,import,0.14285714285714285
allPuristOut,import,0.6
allPuristOut,evaluation,0.4
alpha,visualization,0.8
alpha,exploratory,0.1
alpha,export,0.1
alphaMLG,exploratory,0.25
alphaMLG,import,0.25
alphaMLG,modeling,0.25
alphaMLG,visualization,0.25
analysis,import,1
Analyze,modeling,0.8
Analyze,import,0.2
analyzeMetdataWithGenes,exploratory,0.5
analyzeMetdataWithGenes,import,0.5
animal_resid,exploratory,1
ann,exploratory,1
annotate,visualization,0.6
annotate,communication,0.4
AnnotatedDataFrame,exploratory,0.5
AnnotatedDataFrame,import,0.5
annotatePeak,visualization,0.6666666666666666
annotatePeak,evaluation,0.3333333333333333
annotation,import,0.5
annotation,setup,0.5
anova,modeling,0.6333333333333333
anova,evaluation,0.35
anova,data cleaning,0.016666666666666666
Anova,evaluation,0.5441176470588235
Anova,exploratory,0.27941176470588236
Anova,modeling,0.17647058823529413
anovaBF,evaluation,0.6666666666666666
anovaBF,visualization,0.3333333333333333
anti_join,modeling,0.5
anti_join,data cleaning,0.3333333333333333
anti_join,evaluation,0.16666666666666666
any,data cleaning,1
anyDuplicated,data cleaning,0.75
anyDuplicated,exploratory,0.25
aov,modeling,0.6842105263157895
aov,exploratory,0.15789473684210525
aov,data cleaning,0.10526315789473684
aov,evaluation,0.05263157894736842
apa.2way.table,communication,0.5
apa.2way.table,export,0.5
apa.d.table,communication,0.5
apa.d.table,export,0.5
append,data cleaning,1
appender.file,setup,0.3888888888888889
appender.file,import,0.3333333333333333
appender.file,data cleaning,0.16666666666666666
appender.file,export,0.1111111111111111
apply,data cleaning,0.5344827586206896
apply,exploratory,0.13793103448275862
apply,evaluation,0.1206896551724138
apply,modeling,0.06896551724137931
apply,visualization,0.05172413793103448
apply,import,0.034482758620689655
apply,communication,0.017241379310344827
apply,export,0.017241379310344827
apply,setup,0.017241379310344827
arrange,data cleaning,0.7692307692307693
arrange,setup,0.07692307692307693
arrange,evaluation,0.05128205128205128
arrange,exploratory,0.05128205128205128
arrange,import,0.02564102564102564
arrange,modeling,0.02564102564102564
array,data cleaning,0.8
array,evaluation,0.1
array,exploratory,0.1
arrows,visualization,1
as,data cleaning,1
as_data_frame,data cleaning,0.7142857142857143
as_data_frame,exploratory,0.14285714285714285
as_data_frame,import,0.14285714285714285
as_dribble,evaluation,0.8
as_dribble,import,0.2
as_tibble,import,0.6
as_tibble,data cleaning,0.2
as_tibble,modeling,0.1
as_tibble,setup,0.1
as.character,data cleaning,0.7290322580645161
as.character,import,0.12258064516129032
as.character,setup,0.05806451612903226
as.character,exploratory,0.04516129032258064
as.character,visualization,0.03225806451612903
as.character,evaluation,0.0064516129032258064
as.character,modeling,0.0064516129032258064
as.data.frame,data cleaning,0.6666666666666666
as.data.frame,exploratory,0.10526315789473684
as.data.frame,import,0.07017543859649122
as.data.frame,modeling,0.06140350877192982
as.data.frame,evaluation,0.05263157894736842
as.data.frame,setup,0.03508771929824561
as.data.frame,export,0.008771929824561403
as.data.table,data cleaning,0.8
as.data.table,setup,0.2
as.Date,data cleaning,0.8
as.Date,exploratory,0.2
as.dist,data cleaning,0.5555555555555556
as.dist,modeling,0.2222222222222222
as.dist,visualization,0.2222222222222222
as.double,data cleaning,1
as.factor,data cleaning,0.5632183908045977
as.factor,modeling,0.11494252873563218
as.factor,visualization,0.10344827586206896
as.factor,exploratory,0.06896551724137931
as.factor,setup,0.06896551724137931
as.factor,evaluation,0.04597701149425287
as.factor,import,0.034482758620689655
as.formula,modeling,0.6666666666666666
as.formula,visualization,0.3333333333333333
as.integer,data cleaning,0.6
as.integer,setup,0.2
as.integer,modeling,0.1
as.integer,visualization,0.1
as.list,data cleaning,0.6666666666666666
as.list,exploratory,0.3333333333333333
as.logical,exploratory,1
as.matrix,data cleaning,0.4222222222222222
as.matrix,import,0.3333333333333333
as.matrix,modeling,0.1111111111111111
as.matrix,evaluation,0.044444444444444446
as.matrix,visualization,0.044444444444444446
as.matrix,exploratory,0.022222222222222223
as.matrix,setup,0.022222222222222223
as.numeric,data cleaning,0.5884146341463414
as.numeric,setup,0.10060975609756098
as.numeric,import,0.09146341463414634
as.numeric,exploratory,0.08231707317073171
as.numeric,evaluation,0.07317073170731707
as.numeric,modeling,0.04878048780487805
as.numeric,visualization,0.009146341463414634
as.numeric,export,0.006097560975609756
as.phylo,import,1
as.POSIXlt,data cleaning,1
as.tbl,data cleaning,1
as.vector,data cleaning,0.38235294117647056
as.vector,evaluation,0.29411764705882354
as.vector,communication,0.14705882352941177
as.vector,exploratory,0.08823529411764706
as.vector,import,0.029411764705882353
as.vector,modeling,0.029411764705882353
as.vector,visualization,0.029411764705882353
as.yearmon,data cleaning,1
ascii,export,1
asDataFrame,import,0.6923076923076923
asDataFrame,export,0.23076923076923078
asDataFrame,data cleaning,0.07692307692307693
assembly.counts,visualization,1
assert,setup,1
assign,export,0.5
assign,modeling,0.5
atan,setup,1
ato,modeling,1
attach,import,1
attributes,import,0.6666666666666666
attributes,modeling,0.3333333333333333
auc,modeling,0.3684210526315789
auc,evaluation,0.3157894736842105
auc,exploratory,0.2631578947368421
auc,setup,0.05263157894736842
authenticate,export,0.5
authenticate,import,0.5
average_twin_level_1,evaluation,1
average_twin_level_2,evaluation,1
axis,visualization,0.6190476190476191
axis,data cleaning,0.3333333333333333
axis,communication,0.047619047619047616
b.diffste,modeling,1
b.showsiglev,modeling,0.5
b.showsiglev,visualization,0.5
b.studentized_ttest,modeling,1
bal.table,evaluation,1
bar,visualization,1
barplot,visualization,1
base,import,0.5
base,setup,0.5
basename,setup,0.45454545454545453
basename,data cleaning,0.2727272727272727
basename,import,0.2727272727272727
BAYES.THR,data cleaning,0.3333333333333333
BAYES.THR,evaluation,0.3333333333333333
BAYES.THR,modeling,0.3333333333333333
BayesFactor_InformedNormal,modeling,1
beep,communication,0.5
beep,modeling,0.5
beepr,communication,0.5
beepr,modeling,0.5
BESTmcmc,exploratory,0.5
BESTmcmc,modeling,0.5
bf10,modeling,1
binconf,communication,0.6666666666666666
binconf,evaluation,0.3333333333333333
bind_plans,data cleaning,0.8333333333333334
bind_plans,exploratory,0.16666666666666666
bind_rows,data cleaning,0.6086956521739131
bind_rows,visualization,0.21739130434782608
bind_rows,modeling,0.13043478260869565
bind_rows,evaluation,0.043478260869565216
binom.test,data cleaning,0.3333333333333333
binom.test,evaluation,0.3333333333333333
binom.test,modeling,0.3333333333333333
binomial,modeling,0.875
binomial,import,0.125
biocLite,data cleaning,0.2777777777777778
biocLite,import,0.2777777777777778
biocLite,visualization,0.16666666666666666
biocLite,exploratory,0.1111111111111111
biocLite,setup,0.1111111111111111
biocLite,communication,0.05555555555555555
blockwiseModules,modeling,1
booktabs,data cleaning,0.5
booktabs,exploratory,0.5
booter,modeling,0.6666666666666666
booter,evaluation,0.2222222222222222
booter,setup,0.1111111111111111
bootstrapPage,setup,1
bottom_10,evaluation,0.5
bottom_10,exploratory,0.5
box,data cleaning,0.5384615384615384
box,visualization,0.46153846153846156
boxplot,visualization,0.984
boxplot,exploratory,0.008
boxplot,modeling,0.008
bquote,visualization,1
br,communication,0.6
br,exploratory,0.2
br,setup,0.2
breakpoints,exploratory,1
brewer.pal,visualization,0.75
brewer.pal,setup,0.25
"brewer.pal(8, ""Spectral"")",visualization,1
brm,modeling,1
buffer,data cleaning,0.5
buffer,export,0.5
build_feature_matrix,exploratory,1
build.tcga.ds,modeling,1
byPop_plot,visualization,1
byYear_plot,communication,1
c,visualization,0.3361244019138756
c,data cleaning,0.27352472089314195
c,setup,0.08492822966507177
c,modeling,0.08253588516746412
c,import,0.07216905901116427
c,evaluation,0.06977671451355662
c,exploratory,0.05901116427432217
c,export,0.012759170653907496
c,communication,0.009170653907496013
ca.jo,evaluation,0.5
ca.jo,modeling,0.5
CairoFonts,visualization,1
CairoPDF,export,0.75
CairoPDF,visualization,0.25
CairoTIFF,export,1
calc_port_df,exploratory,1
calc_vessel_vars,exploratory,0.5
calc_vessel_vars,modeling,0.5
calculate_roc_binary_classifier,modeling,0.5714285714285714
calculate_roc_binary_classifier,evaluation,0.42857142857142855
calculateCQN,modeling,0.6666666666666666
calculateCQN,setup,0.3333333333333333
calculateQCMetrics,import,0.3333333333333333
calculateQCMetrics,modeling,0.3333333333333333
calculateQCMetrics,visualization,0.3333333333333333
capture.output,communication,1
car,modeling,1
caret,modeling,0.75
caret,evaluation,0.25
case_when,data cleaning,1
case.two,exploratory,1
cat,communication,0.5
cat,export,0.18333333333333332
cat,exploratory,0.13333333333333333
cat,data cleaning,0.06666666666666667
cat,import,0.05
cat,modeling,0.03333333333333333
cat,evaluation,0.016666666666666666
cat,setup,0.016666666666666666
cauchy,import,1
CauchyKernel,modeling,0.75
CauchyKernel,export,0.25
cbind,data cleaning,0.5747126436781609
cbind,modeling,0.12643678160919541
cbind,evaluation,0.10344827586206896
cbind,exploratory,0.06896551724137931
cbind,import,0.04597701149425287
cbind,export,0.034482758620689655
cbind,visualization,0.022988505747126436
cbind,communication,0.011494252873563218
cbind,setup,0.011494252873563218
ceiling,data cleaning,0.6666666666666666
ceiling,import,0.3333333333333333
cellColors,setup,0.5
cellColors,visualization,0.5
character,import,0.34782608695652173
character,setup,0.2608695652173913
character,data cleaning,0.13043478260869565
character,evaluation,0.13043478260869565
character,exploratory,0.13043478260869565
characterize_metiers,data cleaning,1
check_MCMC,evaluation,0.5
check_MCMC,modeling,0.5
checkboxInput,setup,1
chi_sq_list,communication,0.5
chi_sq_list,evaluation,0.5
chisq.test,evaluation,0.3333333333333333
chisq.test,exploratory,0.3333333333333333
chisq.test,export,0.3333333333333333
CI,evaluation,1
CI_coef,modeling,1
ci.high,exploratory,1
ci.low,exploratory,1
ciOverlap,evaluation,0.75
ciOverlap,modeling,0.25
circular,setup,0.4
circular,data cleaning,0.2
circular,evaluation,0.2
circular,exploratory,0.2
class,exploratory,0.4444444444444444
class,data cleaning,0.2222222222222222
class,setup,0.2222222222222222
class,communication,0.1111111111111111
classAgreement,evaluation,0.375
classAgreement,setup,0.375
classAgreement,export,0.125
classAgreement,import,0.125
cleanTrumpPredictions,data cleaning,1
cliff.delta,modeling,1
climate_sim,import,1
close,export,1
cloud,visualization,1
cmapR,import,1
coef,data cleaning,0.42105263157894735
coef,modeling,0.21052631578947367
coef,communication,0.10526315789473684
coef,evaluation,0.10526315789473684
coef,setup,0.10526315789473684
coef,exploratory,0.05263157894736842
coef_CI,evaluation,0.3333333333333333
coef_CI,modeling,0.3333333333333333
coef_CI,visualization,0.3333333333333333
coef.hclust,modeling,1
coefficients,modeling,1
col_factor,import,1
colData,data cleaning,1
collect,import,0.6666666666666666
collect,exploratory,0.3333333333333333
colMeans,exploratory,0.29411764705882354
colMeans,data cleaning,0.23529411764705882
colMeans,setup,0.20588235294117646
colMeans,evaluation,0.11764705882352941
colMeans,import,0.058823529411764705
colMeans,modeling,0.058823529411764705
colMeans,communication,0.029411764705882353
colnames,data cleaning,0.7019607843137254
colnames,import,0.11372549019607843
colnames,setup,0.050980392156862744
colnames,exploratory,0.047058823529411764
colnames,modeling,0.0392156862745098
colnames,communication,0.0196078431372549
colnames,visualization,0.011764705882352941
colnames,evaluation,0.00784313725490196
colnames,export,0.00784313725490196
color_to_hex,visualization,1
colorRampPalette,visualization,1
cols,import,0.75
cols,setup,0.25
colSums,exploratory,0.4
colSums,evaluation,0.3
colSums,modeling,0.2
colSums,data cleaning,0.1
column,communication,0.8
column,import,0.2
ComBat,modeling,0.5
ComBat,setup,0.5
combn,modeling,0.5
combn,setup,0.5
comdistnt,data cleaning,1
commandArgs,setup,0.75
commandArgs,evaluation,0.1111111111111111
commandArgs,data cleaning,0.08333333333333333
commandArgs,import,0.027777777777777776
commandArgs,modeling,0.027777777777777776
comp_fun,evaluation,1
compare_distributions,evaluation,0.6666666666666666
compare_distributions,data cleaning,0.3333333333333333
compare_models,evaluation,0.5
compare_models,modeling,0.5
compare_optimized,export,0.23076923076923078
compare_optimized,import,0.23076923076923078
compare_optimized,modeling,0.23076923076923078
compare_optimized,evaluation,0.15384615384615385
compare_optimized,communication,0.07692307692307693
compare_optimized,exploratory,0.07692307692307693
compareCluster,modeling,1
compareWordsWithinLanguage,evaluation,0.5
compareWordsWithinLanguage,exploratory,0.5
compareWordsWithinLanguage_Domain,evaluation,0.5
compareWordsWithinLanguage_Domain,modeling,0.5
complete,data cleaning,1
complete.cases,data cleaning,0.42857142857142855
complete.cases,import,0.2857142857142857
complete.cases,modeling,0.14285714285714285
complete.cases,setup,0.14285714285714285
compute_all_triplets,exploratory,0.6666666666666666
compute_all_triplets,modeling,0.3333333333333333
compute_bias_growth_curves,visualization,0.5
compute_bias_growth_curves,exploratory,0.25
compute_bias_growth_curves,export,0.25
computePCAMatCor,modeling,1
confint,evaluation,0.5714285714285714
confint,data cleaning,0.2857142857142857
confint,communication,0.14285714285714285
confusionMatrix,modeling,0.625
confusionMatrix,evaluation,0.375
constructDesignMatrix_acLDL,setup,1
constructDesignMatrix_SL1344,data cleaning,0.6666666666666666
constructDesignMatrix_SL1344,import,0.3333333333333333
contains,data cleaning,1
contour,visualization,1
contrasts,exploratory,1
convert.factors.to.strings,data cleaning,1
coord_cartesian,visualization,0.9333333333333333
coord_cartesian,exploratory,0.06666666666666667
coord_equal,setup,0.4
coord_equal,visualization,0.4
coord_equal,data cleaning,0.2
coord_flip,visualization,1
coord_map,visualization,1
coord_polar,visualization,1
coordinates,setup,0.4444444444444444
coordinates,import,0.2222222222222222
coordinates,modeling,0.2222222222222222
coordinates,visualization,0.1111111111111111
coords,evaluation,1
cophenetic,data cleaning,0.6666666666666666
cophenetic,modeling,0.3333333333333333
cor,modeling,0.5714285714285714
cor,evaluation,0.23809523809523808
cor,visualization,0.09523809523809523
cor,data cleaning,0.047619047619047616
cor,exploratory,0.047619047619047616
cor.test,modeling,0.5714285714285714
cor.test,exploratory,0.2857142857142857
cor.test,evaluation,0.14285714285714285
Corpus,data cleaning,1
corrplot,modeling,0.5
corrplot,visualization,0.5
count,exploratory,0.8484848484848485
count,evaluation,0.06060606060606061
count,data cleaning,0.030303030303030304
count,setup,0.030303030303030304
count,visualization,0.030303030303030304
count_targets,data cleaning,0.5
count_targets,evaluation,0.5
countrycode,data cleaning,1
cov,exploratory,0.5
cov,modeling,0.5
covplot,modeling,0.5
covplot,visualization,0.5
cowplot,visualization,0.6666666666666666
cowplot,export,0.3333333333333333
coxph,modeling,1
create_analyzer,data cleaning,0.6666666666666666
create_analyzer,setup,0.3333333333333333
create_better_dt_events,setup,1
create_event_locations_shared,data cleaning,1
create_vessel_landings,exploratory,0.5
create_vessel_landings,modeling,0.5
createDataPartition,import,0.5
createDataPartition,modeling,0.5
createLatexTable,export,1
crossprod,modeling,1
CRS,data cleaning,0.7777777777777778
CRS,export,0.1111111111111111
CRS,setup,0.05555555555555555
CRS,visualization,0.05555555555555555
crump,modeling,1
cum_normal_fun,data cleaning,1
cumsum,data cleaning,1
cumTransAlleles,modeling,1
cut,data cleaning,0.9166666666666666
cut,visualization,0.08333333333333333
cut_by_thirds,data cleaning,1
cut2,data cleaning,1
cutree,visualization,1
cv.glm,modeling,1
cv.glmnet,modeling,1
d_group_means,exploratory,1
dapc,exploratory,1
dapc.plot,visualization,1
data,import,0.7333333333333333
data,setup,0.26666666666666666
data_frame,data cleaning,0.75
data_frame,exploratory,0.125
data_frame,modeling,0.125
data_movies,exploratory,1
data.frame,data cleaning,0.4383561643835616
data.frame,setup,0.17465753424657535
data.frame,import,0.0821917808219178
data.frame,visualization,0.06506849315068493
data.frame,modeling,0.06164383561643835
data.frame,evaluation,0.0547945205479452
data.frame,exploratory,0.05136986301369863
data.frame,export,0.05136986301369863
data.frame,communication,0.02054794520547945
data.table,import,0.35
data.table,data cleaning,0.25
data.table,evaluation,0.2
data.table,exploratory,0.1
data.table,setup,0.1
dataTableOutput,setup,1
days,data cleaning,1
dba,import,1
dba.analyze,modeling,1
dba.contrast,modeling,1
dba.plotHeatmap,visualization,1
dba.report,communication,1
dbConnect,import,1
dbscan,modeling,1
dcast,data cleaning,0.6666666666666666
dcast,exploratory,0.3333333333333333
dcast.data.table,data cleaning,0.8333333333333334
dcast.data.table,modeling,0.16666666666666666
ddply,modeling,0.29310344827586204
ddply,data cleaning,0.27586206896551724
ddply,evaluation,0.1896551724137931
ddply,exploratory,0.1724137931034483
ddply,setup,0.05172413793103448
ddply,communication,0.017241379310344827
defaultPlotTheme,visualization,1
define_participationPlot,visualization,1
degFullToDegSemi,data cleaning,0.6666666666666666
degFullToDegSemi,modeling,0.3333333333333333
degFullToRadFull,data cleaning,0.6666666666666666
degFullToRadFull,exploratory,0.16666666666666666
degFullToRadFull,modeling,0.16666666666666666
degree,visualization,1
degSemiToDegFull,data cleaning,1
density,visualization,1
deparse,data cleaning,1
desc,data cleaning,0.5555555555555556
desc,evaluation,0.2222222222222222
desc,exploratory,0.2222222222222222
describeBy,data cleaning,0.5
describeBy,modeling,0.5
detach,setup,0.75
detach,data cleaning,0.25
detectCores,setup,0.4375
detectCores,modeling,0.1875
detectCores,evaluation,0.125
detectCores,exploratory,0.125
detectCores,data cleaning,0.0625
detectCores,import,0.0625
dev.off,visualization,0.5906040268456376
dev.off,export,0.16778523489932887
dev.off,setup,0.10738255033557047
dev.off,evaluation,0.09395973154362416
dev.off,data cleaning,0.020134228187919462
dev.off,exploratory,0.006711409395973154
dev.off,import,0.006711409395973154
dev.off,modeling,0.006711409395973154
devtools,setup,0.6666666666666666
devtools,import,0.3333333333333333
df,import,0.5
df,setup,0.5
df_tassize_subset,data cleaning,0.5
df_tassize_subset,setup,0.5
diag,modeling,0.918918918918919
diag,data cleaning,0.05405405405405406
diag,visualization,0.02702702702702703
diff,data cleaning,0.375
diff,exploratory,0.25
diff,visualization,0.25
diff,evaluation,0.125
difftime,data cleaning,1
dim,exploratory,0.4158415841584158
dim,data cleaning,0.3069306930693069
dim,communication,0.0891089108910891
dim,evaluation,0.07920792079207921
dim,setup,0.04950495049504951
dim,import,0.039603960396039604
dim,modeling,0.019801980198019802
dimnames,data cleaning,0.7
dimnames,evaluation,0.3
dir,import,0.8333333333333334
dir,setup,0.16666666666666666
dir.create,setup,0.6779661016949152
dir.create,export,0.1864406779661017
dir.create,data cleaning,0.03389830508474576
