package,namespace_directive,func
stringi,export,stri_rand_shuffle
stringi,export,stri_rand_strings
stringi,export,stri_read_lines
stringi,export,stri_read_raw
stringi,export,stri_remove_empty
stringi,export,stri_replace
stringi,export,stri_replace_all
stringi,export,stri_replace_all_charclass
stringi,export,stri_replace_all_coll
stringi,export,stri_replace_all_fixed
stringi,export,stri_replace_all_regex
stringi,export,stri_replace_first
stringi,export,stri_replace_first_charclass
stringi,export,stri_replace_first_coll
stringi,export,stri_replace_first_fixed
stringi,export,stri_replace_first_regex
stringi,export,stri_replace_last
stringi,export,stri_replace_last_charclass
stringi,export,stri_replace_last_coll
stringi,export,stri_replace_last_fixed
stringi,export,stri_replace_last_regex
stringi,export,stri_replace_na
stringi,export,stri_reverse
stringi,export,stri_sort
stringi,export,stri_split
stringi,export,stri_split_boundaries
stringi,export,stri_split_charclass
stringi,export,stri_split_coll
stringi,export,stri_split_fixed
stringi,export,stri_split_lines
stringi,export,stri_split_lines1
stringi,export,stri_split_regex
stringi,export,stri_startswith
stringi,export,stri_startswith_charclass
stringi,export,stri_startswith_coll
stringi,export,stri_startswith_fixed
stringi,export,stri_stats_general
stringi,export,stri_stats_latex
stringi,export,stri_sub
stringi,export,stri_subset
stringi,export,stri_subset_charclass
stringi,export,stri_subset_coll
stringi,export,stri_subset_fixed
stringi,export,stri_subset_regex
stringi,export,stri_timezone_get
stringi,export,stri_timezone_info
stringi,export,stri_timezone_list
stringi,export,stri_timezone_set
stringi,export,stri_trans_char
stringi,export,stri_trans_general
stringi,export,stri_trans_isnfc
stringi,export,stri_trans_isnfd
stringi,export,stri_trans_isnfkc
stringi,export,stri_trans_isnfkc_casefold
stringi,export,stri_trans_isnfkd
stringi,export,stri_trans_list
stringi,export,stri_trans_nfc
stringi,export,stri_trans_nfd
stringi,export,stri_trans_nfkc
stringi,export,stri_trans_nfkc_casefold
stringi,export,stri_trans_nfkd
stringi,export,stri_trans_tolower
stringi,export,stri_trans_totitle
stringi,export,stri_trans_toupper
stringi,export,stri_trim
stringi,export,stri_trim_both
stringi,export,stri_trim_left
stringi,export,stri_trim_right
stringi,export,stri_unescape_unicode
stringi,export,stri_unique
stringi,export,stri_width
stringi,export,stri_wrap
stringi,export,stri_write_lines
stringi,s3_methods,NA
rlang,export_methods,NA
rlang,export_classes,NA
rlang,export,!!!
rlang,export,!!
rlang,export,%@%
rlang,export,%|%
rlang,export,%||%
rlang,export,:=
rlang,export,f_env<-
rlang,export,f_lhs<-
rlang,export,f_rhs<-
rlang,export,fn_body<-
rlang,export,fn_env<-
rlang,export,fn_fmls<-
rlang,export,fn_fmls_names<-
rlang,export,.data
rlang,export,UQ
rlang,export,UQE
rlang,export,UQS
rlang,export,abort
rlang,export,are_na
rlang,export,arg_match
rlang,export,as_box
rlang,export,as_box_if
rlang,export,as_bytes
rlang,export,as_character
rlang,export,as_closure
rlang,export,as_complex
rlang,export,as_data_mask
rlang,export,as_data_pronoun
rlang,export,as_dictionary
rlang,export,as_double
rlang,export,as_env
rlang,export,as_environment
rlang,export,as_function
rlang,export,as_integer
rlang,export,as_list
rlang,export,as_logical
rlang,export,as_native_character
rlang,export,as_native_string
rlang,export,as_overscope
rlang,export,as_pairlist
rlang,export,as_quosure
rlang,export,as_quosureish
rlang,export,as_string
rlang,export,as_utf8_character
rlang,export,as_utf8_string
rlang,export,base_env
rlang,export,bytes
rlang,export,bytes_along
rlang,export,bytes_len
rlang,export,call2
rlang,export,call_args
rlang,export,call_args_names
rlang,export,call_depth
rlang,export,call_fn
rlang,export,call_frame
rlang,export,call_inspect
rlang,export,call_modify
rlang,export,call_name
rlang,export,call_stack
rlang,export,call_standardise
rlang,export,caller_env
rlang,export,caller_fn
rlang,export,caller_frame
rlang,export,catch_cnd
rlang,export,child_env
rlang,export,chr
rlang,export,chr_along
rlang,export,chr_encoding
rlang,export,chr_len
rlang,export,chr_unserialise_unicode
rlang,export,cnd
rlang,export,cnd_abort
rlang,export,cnd_error
rlang,export,cnd_inform
rlang,export,cnd_message
rlang,export,cnd_signal
rlang,export,cnd_warn
rlang,export,cnd_warning
rlang,export,coerce_class
rlang,export,coerce_lang
rlang,export,coerce_type
rlang,export,cpl
rlang,export,cpl_along
rlang,export,cpl_len
rlang,export,ctxt_depth
rlang,export,ctxt_frame
rlang,export,ctxt_stack
rlang,export,current_frame
rlang,export,dbl
rlang,export,dbl_along
rlang,export,dbl_len
rlang,export,dots_definitions
rlang,export,dots_list
rlang,export,dots_n
rlang,export,dots_splice
rlang,export,dots_values
rlang,export,duplicate
rlang,export,empty_env
rlang,export,enexpr
rlang,export,enexprs
rlang,export,enquo
rlang,export,enquos
rlang,export,ensym
rlang,export,ensyms
rlang,export,env
rlang,export,env_bind
rlang,export,env_bind_exprs
rlang,export,env_bind_fns
rlang,export,env_bury
rlang,export,env_clone
rlang,export,env_depth
rlang,export,env_get
rlang,export,env_get_list
rlang,export,env_has
rlang,export,env_inherits
rlang,export,env_names
rlang,export,env_parent
rlang,export,env_parents
rlang,export,env_poke
rlang,export,env_poke_parent
rlang,export,env_tail
rlang,export,env_unbind
rlang,export,error_cnd
rlang,export,eval_bare
rlang,export,eval_tidy
rlang,export,eval_tidy_
rlang,export,exiting
rlang,export,expr
rlang,export,expr_deparse
rlang,export,expr_interp
rlang,export,expr_label
rlang,export,expr_name
rlang,export,expr_print
rlang,export,expr_text
rlang,export,exprs
rlang,export,exprs_auto_name
rlang,export,f_env
rlang,export,f_label
rlang,export,f_lhs
rlang,export,f_name
rlang,export,f_rhs
rlang,export,f_text
rlang,export,flatten
rlang,export,flatten_chr
rlang,export,flatten_cpl
rlang,export,flatten_dbl
rlang,export,flatten_if
rlang,export,flatten_int
rlang,export,flatten_lgl
rlang,export,flatten_raw
rlang,export,fn_body
rlang,export,fn_env
rlang,export,fn_fmls
rlang,export,fn_fmls_names
rlang,export,fn_fmls_syms
rlang,export,frame_position
rlang,export,friendly_type
rlang,export,get_env
rlang,export,get_expr
rlang,export,global_env
rlang,export,global_frame
rlang,export,has_length
rlang,export,has_name
rlang,export,have_name
rlang,export,inform
rlang,export,inherits_all
rlang,export,inherits_any
rlang,export,inherits_only
rlang,export,inplace
rlang,export,int
rlang,export,int_along
rlang,export,int_len
rlang,export,invoke
rlang,export,is_atomic
rlang,export,is_bare_atomic
rlang,export,is_bare_bytes
rlang,export,is_bare_character
rlang,export,is_bare_double
rlang,export,is_bare_env
rlang,export,is_bare_formula
rlang,export,is_bare_integer
rlang,export,is_bare_integerish
rlang,export,is_bare_list
rlang,export,is_bare_logical
rlang,export,is_bare_numeric
rlang,export,is_bare_raw
rlang,export,is_bare_string
rlang,export,is_bare_vector
rlang,export,is_binary_lang
rlang,export,is_box
rlang,export,is_bytes
rlang,export,is_call
rlang,export,is_call_stack
rlang,export,is_callable
rlang,export,is_character
rlang,export,is_chr_na
rlang,export,is_closure
rlang,export,is_condition
rlang,export,is_copyable
rlang,export,is_cpl_na
rlang,export,is_dbl_na
rlang,export,is_definition
rlang,export,is_dictionary
rlang,export,is_dictionaryish
rlang,export,is_double
rlang,export,is_empty
rlang,export,is_env
rlang,export,is_eval_stack
rlang,export,is_expr
rlang,export,is_expression
rlang,export,is_false
rlang,export,is_formula
rlang,export,is_formulaish
rlang,export,is_frame
rlang,export,is_function
rlang,export,is_installed
rlang,export,is_int_na
rlang,export,is_integer
rlang,export,is_integerish
rlang,export,is_lang
rlang,export,is_lgl_na
rlang,export,is_list
rlang,export,is_logical
rlang,export,is_missing
rlang,export,is_na
rlang,export,is_named
rlang,export,is_namespace
rlang,export,is_node
rlang,export,is_node_list
rlang,export,is_null
rlang,export,is_pairlist
rlang,export,is_primitive
rlang,export,is_primitive_eager
rlang,export,is_primitive_lazy
rlang,export,is_quosure
rlang,export,is_quosureish
rlang,export,is_quosures
rlang,export,is_raw
rlang,export,is_reference
rlang,export,is_scalar_atomic
rlang,export,is_scalar_bytes
rlang,export,is_scalar_character
rlang,export,is_scalar_double
rlang,export,is_scalar_integer
rlang,export,is_scalar_integerish
rlang,export,is_scalar_list
rlang,export,is_scalar_logical
rlang,export,is_scalar_raw
rlang,export,is_scalar_vector
rlang,export,is_scoped
rlang,export,is_spliced
rlang,export,is_spliced_bare
rlang,export,is_stack
rlang,export,is_string
rlang,export,is_symbol
rlang,export,is_symbolic
rlang,export,is_syntactic_literal
rlang,export,is_true
rlang,export,is_unary_lang
rlang,export,is_vector
rlang,export,lang
rlang,export,lang_args
rlang,export,lang_args_names
rlang,export,lang_fn
rlang,export,lang_head
rlang,export,lang_modify
rlang,export,lang_name
rlang,export,lang_standardise
rlang,export,lang_tail
rlang,export,lang_type_of
rlang,export,lgl
rlang,export,lgl_along
rlang,export,lgl_len
rlang,export,list2
rlang,export,list_along
rlang,export,list_len
rlang,export,ll
rlang,export,locally
rlang,export,maybe_missing
rlang,export,message_cnd
rlang,export,missing_arg
rlang,export,modify
rlang,export,mut_attrs
rlang,export,mut_latin1_locale
rlang,export,mut_mbcs_locale
rlang,export,mut_node_caar
rlang,export,mut_node_cadr
rlang,export,mut_node_car
rlang,export,mut_node_cdar
rlang,export,mut_node_cddr
rlang,export,mut_node_cdr
rlang,export,mut_node_tag
rlang,export,mut_utf8_locale
rlang,export,na_chr
rlang,export,na_cpl
rlang,export,na_dbl
rlang,export,na_int
rlang,export,na_lgl
rlang,export,names2
rlang,export,new_box
rlang,export,new_call
rlang,export,new_character
rlang,export,new_character_along
rlang,export,new_cnd
rlang,export,new_complex
rlang,export,new_complex_along
rlang,export,new_data_mask
rlang,export,new_definition
rlang,export,new_double
rlang,export,new_double_along
rlang,export,new_environment
rlang,export,new_formula
rlang,export,new_function
rlang,export,new_integer
rlang,export,new_integer_along
rlang,export,new_language
rlang,export,new_list
rlang,export,new_list_along
rlang,export,new_logical
rlang,export,new_logical_along
rlang,export,new_node
rlang,export,new_overscope
rlang,export,new_quosure
rlang,export,new_raw
rlang,export,new_raw_along
rlang,export,node
rlang,export,node_caar
rlang,export,node_cadr
rlang,export,node_car
rlang,export,node_cdar
rlang,export,node_cddr
rlang,export,node_cdr
rlang,export,node_poke_caar
rlang,export,node_poke_cadr
rlang,export,node_poke_car
rlang,export,node_poke_cdar
rlang,export,node_poke_cddr
rlang,export,node_poke_cdr
rlang,export,node_poke_tag
rlang,export,node_tag
rlang,export,ns_env
rlang,export,ns_env_name
rlang,export,ns_imports_env
rlang,export,overscope_clean
rlang,export,overscope_eval_next
rlang,export,parse_expr
rlang,export,parse_exprs
rlang,export,parse_quo
rlang,export,parse_quos
rlang,export,parse_quosure
rlang,export,parse_quosures
rlang,export,peek_option
rlang,export,peek_options
rlang,export,pkg_env
rlang,export,pkg_env_name
rlang,export,prepend
rlang,export,prim_name
rlang,export,push_options
rlang,export,qq_show
rlang,export,quo
rlang,export,quo_expr
rlang,export,quo_get_env
rlang,export,quo_get_expr
rlang,export,quo_is_call
rlang,export,quo_is_lang
rlang,export,quo_is_missing
rlang,export,quo_is_null
rlang,export,quo_is_symbol
rlang,export,quo_is_symbolic
rlang,export,quo_label
rlang,export,quo_name
rlang,export,quo_set_env
rlang,export,quo_set_expr
rlang,export,quo_squash
rlang,export,quo_text
rlang,export,quos
rlang,export,quos_auto_name
rlang,export,raw_along
rlang,export,raw_len
rlang,export,rep_along
rlang,export,restarting
rlang,export,return_from
rlang,export,return_to
rlang,export,rst_abort
rlang,export,rst_exists
rlang,export,rst_jump
rlang,export,rst_list
rlang,export,rst_maybe_jump
rlang,export,rst_muffle
rlang,export,scoped_bindings
rlang,export,scoped_env
rlang,export,scoped_envs
rlang,export,scoped_names
rlang,export,scoped_options
rlang,export,seq2
rlang,export,seq2_along
rlang,export,set_attrs
rlang,export,set_chr_encoding
rlang,export,set_env
rlang,export,set_expr
rlang,export,set_names
rlang,export,set_str_encoding
rlang,export,splice
rlang,export,squash
rlang,export,squash_chr
rlang,export,squash_cpl
rlang,export,squash_dbl
rlang,export,squash_if
rlang,export,squash_int
rlang,export,squash_lgl
rlang,export,squash_raw
rlang,export,stack_trim
rlang,export,str_encoding
rlang,export,string
rlang,export,switch_class
rlang,export,switch_lang
rlang,export,switch_type
rlang,export,sym
rlang,export,syms
rlang,export,type_of
rlang,export,unbox
rlang,export,vec_poke_n
rlang,export,vec_poke_range
rlang,export,warn
rlang,export,warning_cnd
rlang,export,with_bindings
rlang,export,with_env
rlang,export,with_handlers
rlang,export,with_options
rlang,export,with_restarts
rlang,s3_methods,$.rlang_data_pronoun
rlang,s3_methods,$<-.rlang_data_pronoun
rlang,s3_methods,[.quosures
rlang,s3_methods,[.stack
rlang,s3_methods,[[.rlang_data_pronoun
rlang,s3_methods,[[<-.rlang_data_pronoun
rlang,s3_methods,as_dictionary.NULL
rlang,s3_methods,as_dictionary.data.frame
rlang,s3_methods,as_dictionary.default
rlang,s3_methods,as_dictionary.dictionary
rlang,s3_methods,as_dictionary.environment
rlang,s3_methods,c.quosures
rlang,s3_methods,length.rlang_data_pronoun
rlang,s3_methods,names.rlang_data_pronoun
rlang,s3_methods,print.frame
rlang,s3_methods,print.quosure
rlang,s3_methods,print.quosures
rlang,s3_methods,print.rlang_data_pronoun
rlang,s3_methods,rst_muffle.default
rlang,s3_methods,rst_muffle.mufflable
rlang,s3_methods,rst_muffle.simpleMessage
rlang,s3_methods,rst_muffle.simpleWarning
rlang,s3_methods,str.quosure
rlang,s3_methods,str.rlang_data_pronoun
ggplot2,export_methods,NA
ggplot2,export_classes,NA
ggplot2,export,%+%
ggplot2,export,%+replace%
ggplot2,export,.pt
ggplot2,export,.stroke
ggplot2,export,AxisSecondary
ggplot2,export,Coord
ggplot2,export,CoordCartesian
ggplot2,export,CoordFixed
ggplot2,export,CoordFlip
ggplot2,export,CoordMap
ggplot2,export,CoordPolar
ggplot2,export,CoordQuickmap
ggplot2,export,CoordTrans
ggplot2,export,Facet
ggplot2,export,FacetGrid
ggplot2,export,FacetNull
ggplot2,export,FacetWrap
ggplot2,export,Geom
ggplot2,export,GeomAbline
ggplot2,export,GeomAnnotationMap
ggplot2,export,GeomArea
ggplot2,export,GeomBar
ggplot2,export,GeomBlank
ggplot2,export,GeomBoxplot
ggplot2,export,GeomCol
ggplot2,export,GeomContour
ggplot2,export,GeomCrossbar
ggplot2,export,GeomCurve
ggplot2,export,GeomCustomAnn
ggplot2,export,GeomDensity
ggplot2,export,GeomDensity2d
ggplot2,export,GeomDotplot
ggplot2,export,GeomErrorbar
ggplot2,export,GeomErrorbarh
ggplot2,export,GeomHex
ggplot2,export,GeomHline
ggplot2,export,GeomLabel
ggplot2,export,GeomLine
ggplot2,export,GeomLinerange
ggplot2,export,GeomLogticks
ggplot2,export,GeomMap
ggplot2,export,GeomPath
ggplot2,export,GeomPoint
ggplot2,export,GeomPointrange
ggplot2,export,GeomPolygon
ggplot2,export,GeomQuantile
ggplot2,export,GeomRaster
ggplot2,export,GeomRasterAnn
ggplot2,export,GeomRect
ggplot2,export,GeomRibbon
ggplot2,export,GeomRug
ggplot2,export,GeomSegment
ggplot2,export,GeomSmooth
ggplot2,export,GeomSpoke
ggplot2,export,GeomStep
ggplot2,export,GeomText
ggplot2,export,GeomTile
ggplot2,export,GeomViolin
ggplot2,export,GeomVline
ggplot2,export,Position
ggplot2,export,PositionDodge
ggplot2,export,PositionFill
ggplot2,export,PositionIdentity
ggplot2,export,PositionJitter
ggplot2,export,PositionJitterdodge
ggplot2,export,PositionNudge
ggplot2,export,PositionStack
ggplot2,export,Scale
ggplot2,export,ScaleContinuous
ggplot2,export,ScaleContinuousDate
ggplot2,export,ScaleContinuousDatetime
ggplot2,export,ScaleContinuousIdentity
ggplot2,export,ScaleContinuousPosition
ggplot2,export,ScaleDiscrete
ggplot2,export,ScaleDiscreteIdentity
ggplot2,export,ScaleDiscretePosition
ggplot2,export,Stat
ggplot2,export,StatBin
ggplot2,export,StatBin2d
ggplot2,export,StatBindot
ggplot2,export,StatBinhex
ggplot2,export,StatBoxplot
ggplot2,export,StatContour
ggplot2,export,StatCount
ggplot2,export,StatDensity
ggplot2,export,StatDensity2d
ggplot2,export,StatEcdf
ggplot2,export,StatEllipse
ggplot2,export,StatFunction
ggplot2,export,StatIdentity
ggplot2,export,StatQq
ggplot2,export,StatQuantile
ggplot2,export,StatSmooth
ggplot2,export,StatSum
ggplot2,export,StatSummary
ggplot2,export,StatSummary2d
ggplot2,export,StatSummaryBin
ggplot2,export,StatSummaryHex
ggplot2,export,StatUnique
ggplot2,export,StatYdensity
ggplot2,export,aes
ggplot2,export,aes_
ggplot2,export,aes_all
ggplot2,export,aes_auto
ggplot2,export,aes_q
ggplot2,export,aes_string
ggplot2,export,alpha
ggplot2,export,annotate
ggplot2,export,annotation_custom
ggplot2,export,annotation_logticks
ggplot2,export,annotation_map
ggplot2,export,annotation_raster
ggplot2,export,arrow
ggplot2,export,as_labeller
ggplot2,export,autoplot
ggplot2,export,benchplot
ggplot2,export,borders
ggplot2,export,calc_element
ggplot2,export,combine_vars
ggplot2,export,continuous_scale
ggplot2,export,coord_cartesian
ggplot2,export,coord_equal
ggplot2,export,coord_fixed
ggplot2,export,coord_flip
ggplot2,export,coord_map
ggplot2,export,coord_munch
ggplot2,export,coord_polar
ggplot2,export,coord_quickmap
ggplot2,export,coord_trans
ggplot2,export,cut_interval
ggplot2,export,cut_number
ggplot2,export,cut_width
ggplot2,export,derive
ggplot2,export,discrete_scale
ggplot2,export,draw_key_abline
ggplot2,export,draw_key_blank
ggplot2,export,draw_key_boxplot
ggplot2,export,draw_key_crossbar
ggplot2,export,draw_key_dotplot
ggplot2,export,draw_key_label
ggplot2,export,draw_key_path
ggplot2,export,draw_key_point
ggplot2,export,draw_key_pointrange
ggplot2,export,draw_key_polygon
ggplot2,export,draw_key_rect
ggplot2,export,draw_key_smooth
ggplot2,export,draw_key_text
ggplot2,export,draw_key_vline
ggplot2,export,draw_key_vpath
ggplot2,export,dup_axis
ggplot2,export,element_blank
ggplot2,export,element_grob
ggplot2,export,element_line
ggplot2,export,element_rect
ggplot2,export,element_text
ggplot2,export,expand_limits
ggplot2,export,facet_grid
ggplot2,export,facet_null
ggplot2,export,facet_wrap
ggplot2,export,find_panel
ggplot2,export,fortify
ggplot2,export,geom_abline
ggplot2,export,geom_area
ggplot2,export,geom_bar
ggplot2,export,geom_bin2d
ggplot2,export,geom_blank
ggplot2,export,geom_boxplot
ggplot2,export,geom_col
ggplot2,export,geom_contour
ggplot2,export,geom_count
ggplot2,export,geom_crossbar
ggplot2,export,geom_curve
ggplot2,export,geom_density
ggplot2,export,geom_density2d
ggplot2,export,geom_density_2d
ggplot2,export,geom_dotplot
ggplot2,export,geom_errorbar
ggplot2,export,geom_errorbarh
ggplot2,export,geom_freqpoly
ggplot2,export,geom_hex
ggplot2,export,geom_histogram
ggplot2,export,geom_hline
ggplot2,export,geom_jitter
ggplot2,export,geom_label
ggplot2,export,geom_line
ggplot2,export,geom_linerange
ggplot2,export,geom_map
ggplot2,export,geom_path
ggplot2,export,geom_point
ggplot2,export,geom_pointrange
ggplot2,export,geom_polygon
ggplot2,export,geom_qq
ggplot2,export,geom_quantile
ggplot2,export,geom_raster
ggplot2,export,geom_rect
ggplot2,export,geom_ribbon
ggplot2,export,geom_rug
ggplot2,export,geom_segment
ggplot2,export,geom_smooth
ggplot2,export,geom_spoke
ggplot2,export,geom_step
ggplot2,export,geom_text
ggplot2,export,geom_tile
ggplot2,export,geom_violin
ggplot2,export,geom_vline
ggplot2,export,gg_dep
ggplot2,export,ggplot
ggplot2,export,ggplotGrob
ggplot2,export,ggplot_build
ggplot2,export,ggplot_gtable
ggplot2,export,ggproto
ggplot2,export,ggproto_parent
ggplot2,export,ggsave
ggplot2,export,ggtitle
ggplot2,export,guide_colorbar
ggplot2,export,guide_colourbar
ggplot2,export,guide_legend
ggplot2,export,guides
ggplot2,export,is.Coord
ggplot2,export,is.facet
ggplot2,export,is.ggplot
ggplot2,export,is.ggproto
ggplot2,export,is.theme
ggplot2,export,label_both
ggplot2,export,label_bquote
ggplot2,export,label_context
ggplot2,export,label_parsed
ggplot2,export,label_value
ggplot2,export,label_wrap_gen
ggplot2,export,labeller
ggplot2,export,labs
ggplot2,export,last_plot
ggplot2,export,layer
ggplot2,export,layer_data
ggplot2,export,layer_grob
ggplot2,export,layer_scales
ggplot2,export,lims
ggplot2,export,map_data
ggplot2,export,margin
ggplot2,export,max_height
ggplot2,export,max_width
ggplot2,export,mean_cl_boot
ggplot2,export,mean_cl_normal
ggplot2,export,mean_sdl
ggplot2,export,mean_se
ggplot2,export,median_hilow
ggplot2,export,panel_cols
ggplot2,export,panel_rows
ggplot2,export,position_dodge
ggplot2,export,position_fill
ggplot2,export,position_identity
ggplot2,export,position_jitter
ggplot2,export,position_jitterdodge
ggplot2,export,position_nudge
ggplot2,export,position_stack
ggplot2,export,qplot
ggplot2,export,quickplot
ggplot2,export,rel
ggplot2,export,remove_missing
ggplot2,export,render_axes
ggplot2,export,render_strips
ggplot2,export,resolution
ggplot2,export,scale_alpha
ggplot2,export,scale_alpha_continuous
ggplot2,export,scale_alpha_discrete
ggplot2,export,scale_alpha_identity
ggplot2,export,scale_alpha_manual
ggplot2,export,scale_color_brewer
ggplot2,export,scale_color_continuous
ggplot2,export,scale_color_discrete
ggplot2,export,scale_color_distiller
ggplot2,export,scale_color_gradient
ggplot2,export,scale_color_gradient2
ggplot2,export,scale_color_gradientn
ggplot2,export,scale_color_grey
ggplot2,export,scale_color_hue
ggplot2,export,scale_color_identity
ggplot2,export,scale_color_manual
ggplot2,export,scale_colour_brewer
